cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
BGR,0.5918726903842436,377847,0.4203297982750067,31874,0.6197073643250745,101425,0.6062953228726966,47367,0.6436746607821512,211615,3138.6,1900.4,0.6689014996372954,0.6020113496735658,False
BLR,0.6084784123639823,824188,0.3909686329828766,38433,0.6402726632104437,248929,0.6198654678448705,587,0.6686856055615338,636199,6630.85,3249.48,0.6914254656902035,0.6222829191211832,False
BLT,0.6062596296094356,716299,0.3702112985820726,17265,0.6265463074493812,205929,0.5600331832062114,44,0.6506346919045436,633008,6721.554,2774.038,0.6702143025644941,0.6031928723080447,False
BLX,0.4756205377182583,102634,0.293449224040886,60031,0.5527858416843505,39550,0.4647226502865921,972,0.5396443576718941,58205,302.0,1049.145,0.585074571394771,0.5265671142552939,False
BLZ,0.6585105506080854,14691,0.4429444055526684,117,0.6606379832998854,17824,0.6637447327795163,4970,0.7851469469258368,77038,1343.878,753.822,0.8144134173997419,0.7329720756597677,False
BOL,0.6902745448792722,380979,0.3812789393289185,10130,0.7115451126969284,1838530,0.7292088208295562,16822,0.8800395839219022,3459605,55230.228,14345.5258,0.8985667456539256,0.808710071088533,False
BRA,0.6593942469860992,4747073,0.3030403274639374,189128,0.7065206853845314,14013002,0.6628661635502822,1209058,0.8886578256768488,23704235,489567.544,99920.368,0.9039806296462584,0.8135825666816325,False
BTN,0.6891770849207967,20806,0.4638910160419788,94,0.7870343854142215,23631,0.6855912581888666,5849,0.8514112494578592,179519,2688.296,585.324,0.8669116494524868,0.7802204845072381,False
BWA,0.6993744055127017,173491,0.3593331890226475,2686,0.7467894249200157,1335389,0.7512164845978541,24800,0.817860467773703,1631584,15730.2,15080.8,0.8599518025021249,0.7739566222519124,False
CAF,0.7301831246734345,168549,0.4355929242725858,1336,0.8026287099169299,79511,0.7283146454303018,69088,0.8745471268908895,2851511,45277.268,11406.934,0.892507643984212,0.8032568795857908,False
CAN,0.6631392612385686,5893517,0.2973648138192822,91149,0.6870574264945726,1319466,0.542606215337935,6121,0.9423293914450994,93000195,349962.704,451581.886,0.9985888486529998,0.8987299637876999,False
CHL,0.6379250196133774,301089,0.3345264570252298,27335,0.6960920628088789,767433,0.5969556498227945,53142,0.842794236516211,3515293,15017.378,45283.7319,0.9112234915691056,0.8201011424121951,False
CHM,0.5710107621646073,13390221,0.3120367499661765,1559336,0.7185398565408818,22148996,0.5748685904684765,1256421,0.8153735650419186,20779781,131750.0,197605.0,0.8674164447830343,0.7806748003047308,False
CHP,0.5470284845212003,77802,0.3352841829682631,17684,0.6375801094117243,92699,0.494246076963839,2587,0.6054702675016054,110043,1106.644,1288.692,0.6398967453113478,0.575907070780213,False
CIV,0.6291483153931121,122565,0.3598168392170923,8081,0.6584255591576553,714104,0.6291207130989394,589124,0.6817212735646047,205580,3240.19,865.6502,0.6964038252779575,0.6267634427501618,False
CMR,0.6365459487769883,364286,0.3212752317343416,8199,0.6314907507164236,190704,0.644358756013011,205629,0.8006964227720162,1595535,19489.944,17805.0274,0.8408389964453618,0.7567550968008256,False
COD,0.6651913598499575,1019640,0.3890825878808843,13090,0.6910906758558225,1021604,0.6455140667972166,441955,0.8375853788206684,9217422,140198.946,52503.1987,0.8610452259639642,0.7749407033675677,False
COG,0.7095578742058327,76992,0.3730316888224206,2352,0.7178081994346265,482052,0.7084837774635432,28944,0.885876860057663,1138641,21723.7,1679.6,0.8922805484657209,0.8030524936191489,False
COL,0.6662745160117652,271182,0.3344065538347062,17173,0.6804398266973294,2185581,0.6683765440032365,168564,0.9095252335974198,3123910,59449.426,7945.6707,0.9203761803386155,0.8283385623047539,False
CRB,0.593200569351862,28561,0.3317518289608019,12364,0.5506918864954463,9775,0.5558705193839247,22980,0.7232757940257721,89310,1452.832,1164.165,0.7569484698205332,0.6812536228384799,False
CRI,0.6206614677629754,47635,0.2514796621289105,2553,0.6221964102762484,61630,0.6323008176774106,33746,0.7455686540202566,115137,2918.8,427.9544,0.7552258377157237,0.6797032539441513,False
CUB,0.5993917590679775,163185,0.3363860517130298,6987,0.629230017033762,148328,0.5884245354365313,135660,0.6979009992262353,121441,2961.694,365.38,0.7056504682214774,0.6350854213993297,False
CYP,0.5614047920338697,19292,0.3648790011320191,5922,0.5537974808572067,288,0.6064928868224913,5087,0.6033284704596613,25309,139.502,629.532,0.6571204130624644,0.591408371756218,False
CZE,0.5458253973932294,352878,0.3645918994734436,40585,0.5813405587777825,62466,0.5621757649610146,9682,0.5960319435637588,146832,460.86,1256.686,0.6430848760967143,0.5787763884870428,False
DEU,0.5350713547796132,1369473,0.338375401972246,317152,0.5666715583329454,340099,0.5245303241001409,13588,0.5691491928907785,811097,5731.1,5236.8,0.5976867044840849,0.5379180340356764,False
DJI,0.6443728109469435,5362,0.275676016402508,181,0.6800582120955678,66386,,0,0.6903540443952555,37952,5.6,608.31,0.7662833906091017,0.6896550515481915,False
DNK,0.5570785101585476,256837,0.3752209538499876,35247,0.5898278814764052,19912,0.5679084484254112,1904,0.5798219082408449,56262,206.66,747.32,0.6291040798768961,0.5661936718892066,False
DOM,0.5961025881712271,45948,0.281485690449026,4210,0.6048794360566875,87180,0.6042641027742864,50158,0.678403346429038,66057,2018.186,62.7366,0.6804548125138773,0.6124093312624895,False
DZA,0.558241595603025,595931,0.3229043105265477,24310,0.663733253850828,988347,0.5450173939066858,63653,0.9079344181363034,11608200,1423.92,195202.944,1.0,0.9072628400307633,True
ECU,0.6100003456450575,183373,0.2955930984866999,11164,0.6185228908790141,235272,0.6241537298481425,72805,0.8481648384953675,747727,12310.17,6935.064,0.8798711979479236,0.7918840781531312,False
EGY,0.4852954650846225,184368,0.2840417263207345,31915,0.6035630249832781,7640,0.5011371361994282,69656,0.8955874619004499,5340125,0.7,95509.914,0.9950963695461079,0.8955867325914971,False
ERI,0.6291599933751264,70713,0.40543373519122,495,0.698754365846163,296686,0.6948452160113825,4240,0.7371067535132846,248097,1455.964,3059.88,0.790682415315974,0.7116141737843766,False
ETH,0.6184763859620849,1347734,0.3592504213163155,9879,0.6851344206354378,1138986,0.6205675377433871,602809,0.7420912651299937,2684258,25876.52,47317.439,0.7933806634045483,0.7140425970640935,False
FJI,0.686432587444701,5872,0.4824254849229289,543,0.6725744470646485,10711,0.7000940581644811,13684,0.825796870192974,56005,907.07,397.328,0.8517414616026242,0.7665673154423618,False
FNP,0.6366992690886606,920710,0.3242060556644346,7831,0.6448171831008216,1944,0.5352619637772339,727,0.7445410809284231,2790902,14707.05,5583.77,0.7656096640301491,0.6890486976271342,False
FRP,0.5570090996955075,1931205,0.3531289876994125,245812,0.6088305002731045,755024,0.5647046736305537,86014,0.6038279869264541,992221,15131.0,7956.1851,0.6253794880878951,0.5628415392791056,False
GAB,0.7573282435366573,69148,0.3961015159539642,1481,0.7175519314633257,117683,0.7393684971818048,16132,0.8789586663749006,1131400,23534.35,31.526,0.8790762675980094,0.7911686408382085,False
GEO,0.6275194596906322,88329,0.3863758491230029,7928,0.6872222733316281,103144,0.599353837872658,57922,0.7563940365330744,218559,3053.992,1468.6,0.781780424046123,0.7036023816415108,False
GHA,0.6059969675063639,237327,0.3097777151435631,16810,0.6563806901880999,255021,0.6155197981473159,430736,0.7080939042746328,254820,6634.78,3236.08,0.7320950359274377,0.6588855323346939,False
GIN,0.6309733087992178,117432,0.3147037965961626,3349,0.6740599689128209,463099,0.6329272610195505,164909,0.704390675961321,510688,5017.852,2110.3359,0.7258807405816438,0.6532926665234794,False
GMB,0.5961355639209908,17952,0.2643552455903226,1058,0.5946705652851828,14968,0.5999839037319773,9639,0.6246047150957869,10705,233.832,142.394,0.6491746753654072,0.5842572078288665,False
GNB,0.640373645447514,32259,0.3294093255171052,257,0.6901577257882356,20733,0.6308756045326401,18928,0.6687627048270107,94837,2116.542,0.0,0.6687627048270107,0.6018864343443097,False
GNQ,0.6971418558895326,14994,0.3736398815242357,172,0.640353779930411,2408,0.6711194405343635,3260,0.7893288111532046,113613,2440.06,260.02,0.7970040277129331,0.7173036249416398,False
GRC,0.599242712826885,321401,0.3685765160910906,18623,0.6422699456502957,248990,0.595585346150223,85000,0.6463562576222985,155530,4592.67,2408.0315,0.6693809563380212,0.602442860704219,False
GRL,0.8182125797944358,18290,0.6618425382508172,9,,0,,0,0.990300697446294,39835448,0.0,40801.67,1.0,0.990300697446294,True
GSA,0.6869082821020812,32219,0.3840424616824213,2101,0.7538694208927111,70224,0.6349736572729642,4835,0.9450171675851976,2117844,41138.638,3457.832,0.9524017096995259,0.8571615387295733,False
GTM,0.6015791803965463,144197,0.3114637087303427,4826,0.6278383610396361,154969,0.607085573340654,61577,0.7085246359061407,204668,3382.7,2515.59,0.7400890488175956,0.666080143935836,False
