cty,bii_crop,wsum_crop,bii_urban,wsum_urban,bii_past,wsum_past,bii_plant,wsum_plant,bii_prim,wsum_prim,bii_secd,wsum_secd,bii_natural_combined,wsum_natural_combined,natfor,other,bii_natfor,bii_other,natfor_capped
GNB,0.6403777449040681,1289.3999959155915,0.3294093247532869,10.279999911785126,0.6900914136323111,832.4799976348877,0.6308114766115566,756.6799961924553,0.7445406963205282,473.599996380508,0.6578473798606131,3302.919996716082,0.6687192816332374,3776.519992247224,2116.542,0.0,0.6687192816332374,0.6018473534699136,False
GNQ,0.6971932164343448,605.3999962061644,0.3691377076784247,7.27999997138977,0.641180828197968,96.31999946385622,0.6716781678025147,130.4399980083108,0.8163897291070872,3430.7199953719974,0.7056241236439473,1115.0399967134,0.7892197772526904,4545.759995207191,2440.06,260.02,0.796893933596718,0.7172045402370463,False
GRC,0.5993076101887298,12858.879980623722,0.3687261412769487,744.359996534884,0.6422752688202161,9965.03998966515,0.5956184942282099,3397.9199805036187,0.7325555184861727,336.8799970895052,0.6414832031932849,5894.199990600348,0.6464069790550124,6231.079985961318,4592.67,2408.0315,0.6694334845850002,0.6024901361265002,False
GRL,0.8182125796437212,731.5999965816736,0.6618425379229619,0.3599999994039535,,0.0,,0.0,0.9950391068800865,1500040.1602513492,0.9141913697291082,93383.8000478223,0.9903009649415032,1593423.9600065425,0.0,40801.67,1.0,0.9903009649415032,True
GSA,0.6869236426036603,1288.199993878603,0.3827148029157527,83.51999966055155,0.7538550184343953,2812.199998050928,0.6349736567971535,193.39999805390835,0.9492847586578772,82272.39997345209,0.8025753913091124,2457.799983739853,0.9450291062349788,84730.19997621328,41138.638,3457.832,0.9524137416401648,0.8571723674761483,False
GTM,0.6016766329014853,5772.399984113872,0.3111379445345132,192.43999931961295,0.6279413376932051,6209.559990562499,0.6072956017901606,2458.7999821677804,0.8552999439735063,2701.519993685186,0.6384428025492843,5531.279990084469,0.7096025422608467,8232.79998447746,3382.7,2515.59,0.7412149753533026,0.6670934778179723,False
HND,0.6189700592811666,4116.319986611605,0.3066419642781571,94.43999944627284,0.6576527427631872,4041.2399938702574,0.645839279385112,3703.7199810296297,0.862136179106539,3676.9999892115593,0.6659840217231278,7721.9599941670895,0.729257467934582,11398.959985405208,6034.432,1550.79,0.7444782407877863,0.6700304167090078,False
HRV,0.5744470530095759,4426.719987340272,0.385146611330156,530.3599979579449,0.6236212911849045,1939.1199985966089,0.5784237378283048,1813.6799885109067,0.727332832428179,130.7999988272786,0.6201597316746629,7061.959994621575,0.6221086694296499,7192.759994149208,1866.352,2037.08,0.6563621739700359,0.5907259565730324,False
HTI,0.5630328690510112,885.3599961027503,0.2921769728030435,113.03999963402748,0.5839546817854219,1578.9999985992908,0.5826746220201122,2359.999997995794,0.6606496779562082,13.279999770224094,0.5916099899337077,593.1199975386262,0.5931219408786024,606.3999974131584,366.5,594.5,0.6322335812593165,0.5690102231333849,False
HUN,0.5617768440883729,16125.11998090148,0.3738101942985775,2374.679995454848,0.6018972741199146,2047.1999950259924,0.5709234623479675,2068.4399776533246,0.6881375784031333,4.119999930262566,0.6030867555182761,4725.759990856051,0.6031608397234107,4729.87999099493,1280.064,2013.7466,0.6424377435562565,0.5781939692006308,False
IDN,0.6137125338679442,42067.75983276218,0.3035329694796489,6790.19998344779,0.6374009977356849,17436.91996013373,0.6265826973654496,71228.559809722,0.9020665005890433,200078.43979127705,0.6970822368167361,39042.79983551055,0.8685974554164457,239121.23970644176,90186.72,38811.6162,0.8955415349843266,0.805987381485894,False
IND,0.5380746525513173,332938.359438926,0.2944989401320014,11270.959959246218,0.5966062151727836,53475.63985031098,0.5454816811864349,156016.11947837472,0.8395766062812666,51594.6398839578,0.6320702652008874,87645.51981592923,0.7089605458097428,139240.15970470756,59088.692,46381.6667,0.7415719282236193,0.6674147354012574,False
IRL,0.6040034620586359,3144.439986698329,0.3083657774885614,238.31999947875735,0.6195985851509375,17780.55997914821,0.2494648694992065,0.0399999991059303,0.7445268558034093,38.4799997061491,0.6343630082265713,1712.7199920862913,0.6367836939333636,1751.1999914348123,113.114,1750.774,0.702798458108961,0.6325186122980649,False
IRN,0.5960994385657751,66711.51989466697,0.3130668434277275,2335.319993533194,0.6557914021036587,69756.87992052734,0.5649695750050563,2710.959974050522,0.8940314326049555,116854.59995011984,0.6817929568534437,129499.87988556176,0.7824651353997469,246354.4798510149,9192.11,104432.0,0.8616604041951728,0.7754943637756555,False
IRQ,0.5835482817524216,25558.159966930747,0.323996658569565,1523.1599970310926,0.6230688090630886,7297.479989938438,0.5516936856642751,1582.6799862012267,0.9119014406768616,38752.15998137742,0.6688806440931893,31804.9199648425,0.8023552832951767,70557.0799601227,703.5,33210.934,0.8894558347075562,0.8005102512368005,False
ISL,0.6801112581919274,4049.6399890109897,0.2899057475130045,27.40000005811453,0.6459369292626014,2.599999941885472,,0.0,0.8887804619486913,22127.99999976158,0.7388118909335192,21182.760003320876,0.8154326784364891,43310.7599761337,11.834,8153.376,0.9058904288319897,0.8153013859487908,False
ISR,0.5172622749857534,1265.0799978002906,0.3110151759149968,425.319998934865,0.5626007406903905,376.479999743402,0.5004085855393776,372.99999786168337,0.8136944980729109,216.5999997407198,0.6387380128229374,2545.239998534322,0.6524591460774641,2761.839998550713,54.0,1483.0,0.7221355998567454,0.6499220398710709,False
ITP,0.5823798076775788,28847.15994162857,0.3300908751306572,5841.679989822209,0.646193042728542,6832.719989486039,0.5673510027202948,19281.319937884808,0.75996226748178,676.9599950313568,0.6181301960229244,20220.879977688197,0.6227246726945763,20897.839970178906,8742.552,7817.4571,0.6535780264102122,0.588220223769191,False
